CO2,CO2H,CO2T,P1,P10,P25,P4,PAX,alt,co,dsl,hum,lat,lon,main,nh3,pdist,pre,spd,timestamp,tmp
0,0,0,0,0,0,0,18,0,0,GENERIC,52.0,5.3885318,-73.6942608,0,0,0,0,0,2025-08-11 19:15:46,22.350000381469727
0,0,0,0,0,0,0,19,0,0,GENERIC,52.099998474121094,5.3885313,-73.6942596,0,0,0,0,0,2025-08-11 19:15:51,22.420000076293945
0,0,0,0,0,0,0,17,0,0,GENERIC,52.060001373291016,5.3885301,-73.6942598,0,0,0,0,0,2025-08-11 19:15:56,22.3700008392334
0,0,0,0,0,0,0,17,0,0,GENERIC,51.810001373291016,5.3885309,-73.6942609,0,0,0,0,0,2025-08-11 19:16:01,22.469999313354492
0,0,0,0,0,0,0,17,0,0,GENERIC,51.70000076293945,5.3885324,-73.6942601,0,0,0,0,0,2025-08-11 19:16:06,22.479999542236328
0,0,0,0,0,0,0,16,0,0,GENERIC,51.54999923706055,5.3885326,-73.6942608,0,0,0,0,0,2025-08-11 19:16:11,22.549999237060547
0,0,0,0,1,0,0,16,0,0,GENERIC,51.209999084472656,5.3885329,-73.6942578,0,0,0,0,0,2025-08-11 19:16:16,22.479999542236328
0,0,0,0,1,1,0,16,0,0,GENERIC,51.02000045776367,5.3885496,-73.6942438,0,0,2,0,1,2025-08-11 19:16:21,22.25
0,0,0,0,1,1,0,13,0,0,GENERIC,51.16999816894531,5.3885394,-73.6942623,0,0,4,0,0,2025-08-11 19:16:26,22.350000381469727
0,0,0,0,2,1,0,14,0,0,GENERIC,51.099998474121094,5.3885303,-73.6942606,0,0,5,0,0,2025-08-11 19:16:31,22.31999969482422
0,0,0,0,1,0,0,13,0,0,GENERIC,51.08000183105469,5.3885272,-73.6942544,0,0,5,0,0,2025-08-11 19:16:36,22.3700008392334
0,0,0,0,0,0,0,13,0,0,GENERIC,51.22999954223633,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:16:41,22.450000762939453
0,0,0,0,1,0,0,14,0,0,GENERIC,51.27000045776367,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:16:46,22.479999542236328
0,0,0,0,1,0,0,13,0,0,GENERIC,51.25,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:16:51,22.40999984741211
0,0,0,0,1,0,0,14,0,0,GENERIC,50.880001068115234,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:16:56,22.309999465942383
0,0,0,0,1,0,0,14,0,0,GENERIC,50.75,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:01,22.31999969482422
0,0,0,0,0,0,0,12,0,0,GENERIC,51.08000183105469,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:06,22.34000015258789
0,0,0,0,0,0,0,13,0,0,GENERIC,51.439998626708984,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:11,22.40999984741211
0,0,0,0,0,0,0,11,0,0,GENERIC,51.54999923706055,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:16,22.479999542236328
0,0,0,0,0,0,0,12,0,0,GENERIC,51.369998931884766,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:21,22.530000686645508
0,0,0,0,0,0,0,12,0,0,GENERIC,51.790000915527344,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:26,22.530000686645508
0,0,0,0,0,0,0,12,0,0,GENERIC,51.959999084472656,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:31,22.59000015258789
0,0,0,0,0,0,0,13,0,0,GENERIC,51.939998626708984,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:36,22.510000228881836
0,0,0,0,0,0,0,12,0,0,GENERIC,52.060001373291016,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:41,22.420000076293945
0,0,0,0,1,1,0,12,0,0,GENERIC,51.65999984741211,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:46,22.309999465942383
0,0,0,0,2,1,0,13,0,0,GENERIC,51.709999084472656,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:51,22.3799991607666
0,0,0,0,3,2,0,12,0,0,GENERIC,51.540000915527344,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:17:56,22.40999984741211
0,0,0,0,2,1,0,13,0,0,GENERIC,51.5,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:01,22.350000381469727
0,0,0,0,1,1,0,13,0,0,GENERIC,51.400001525878906,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:06,22.389999389648438
0,0,0,0,1,1,0,13,0,0,GENERIC,51.380001068115234,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:11,22.389999389648438
0,0,0,0,1,1,0,14,0,0,GENERIC,51.279998779296875,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:16,22.440000534057617
0,0,0,0,1,1,0,13,0,0,GENERIC,51.20000076293945,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:21,22.34000015258789
0,0,0,0,0,0,0,14,0,0,GENERIC,51.27000045776367,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:26,22.420000076293945
0,0,0,0,0,0,0,13,0,0,GENERIC,51.560001373291016,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:31,22.440000534057617
0,0,0,0,0,0,0,13,0,0,GENERIC,52.04999923706055,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:36,22.469999313354492
0,0,0,0,0,0,0,14,0,0,GENERIC,52.130001068115234,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:41,22.489999771118164
0,0,0,0,1,1,0,13,0,0,GENERIC,52.25,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:46,22.530000686645508
0,0,0,0,1,1,0,13,0,0,GENERIC,52.189998626708984,5.3885267,-73.6942533,0,0,5,0,0,2025-08-11 19:18:51,22.530000686645508
