DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-08-11 08:51:00,5.6,8.5,833,22,0.02,0.01,64.1,61.4,F
2025-08-11 09:04:43,6.2,11.3,1019,25,0.01,0.03,65.7,61.5,F
2025-08-11 09:05:43,6.8,12,1054,27,0.01,0.03,65.8,63,F
2025-08-11 09:06:43,6.9,12.2,1058,28,0.01,0.03,65.9,63.4,F
2025-08-11 09:07:43,6.2,11,1016,25,0.02,0.03,66.1,62.8,F
2025-08-11 09:08:43,5.9,10.4,909,24,0.01,0.03,66.3,63.2,F
2025-08-11 09:09:43,4.6,8,750,19,0.01,0.03,66.4,62.6,F
2025-08-11 09:10:43,5.1,8.5,815,21,0.02,0.02,66.5,61.8,F
2025-08-11 09:11:43,5.9,10,911,24,0.01,0.02,66.6,62.1,F
2025-08-11 09:12:43,5.5,9.1,826,22,0.02,0.02,66.8,61.4,F
2025-08-11 09:13:43,4.8,8.7,749,19,0.02,0.03,66.8,60.7,F
2025-08-11 09:14:43,4.6,8.1,686,18,0.01,0.01,66.8,61,F
2025-08-11 09:15:43,4.9,8.6,809,20,0.01,0.01,66.9,61.2,F
2025-08-11 09:16:43,4.6,8.9,836,19,0.01,0.03,67.1,61.3,F
2025-08-11 09:17:43,4.9,8.3,743,20,0.02,0.02,67,61.6,F
2025-08-11 09:18:43,4.3,7.7,750,17,0.02,0.02,67.2,59.6,F
2025-08-11 09:19:43,3.9,7.5,677,16,0.01,0.03,67.1,60.9,F
2025-08-11 09:20:43,4.5,8.1,692,18,0.01,0.03,67.4,60,F
2025-08-11 09:21:43,4.3,7.7,708,17,0.02,0.03,67.4,60.2,F
2025-08-11 09:22:43,4,6.4,654,16,0.01,0.03,67.8,60.3,F
2025-08-11 09:23:43,4.3,7,693,17,0.02,0.03,68,58.3,F
2025-08-11 09:24:43,3.6,6.3,592,15,0.01,0.02,68.4,57.3,F
2025-08-11 09:25:43,3.8,6.7,628,15,0.02,0.03,68.3,57.4,F
2025-08-11 09:26:43,2.5,4.6,433,10,0.02,0.02,68.6,56.4,F
2025-08-11 09:27:43,4.1,7.2,669,16,0.01,0.03,68.6,57.6,F
2025-08-11 09:28:43,4,6.8,656,16,0.02,0.02,68.7,57.7,F
2025-08-11 09:29:43,4.1,7.1,690,16,0.01,0.03,68.8,57.9,F
2025-08-11 09:30:43,3,5.3,519,12,0.01,0.02,69,56.8,F
2025-08-11 09:31:43,3.5,5.9,539,14,0.01,0.01,69.3,56.9,F
2025-08-11 09:32:43,3.6,6.6,593,14,0.02,0.02,69.1,58.2,F
2025-08-11 09:33:43,3.1,5.1,548,12,0.01,0.01,69.2,55.9,F
2025-08-11 09:34:43,3.7,6.5,583,15,0.02,0.02,69.2,57.1,F
2025-08-11 09:35:43,4.5,8,692,18,0.02,0.02,69.1,54.9,F
2025-08-11 09:36:43,4.5,7.9,676,18,0.02,0.01,69.1,56.1,F
2025-08-11 09:37:43,5.4,9.9,832,22,0.02,0.02,69.1,55.1,F
2025-08-11 09:38:43,5.7,9.4,901,23,0.02,0.01,69.1,55.1,F
2025-08-11 09:39:43,5.4,9.8,893,22,0.02,0.02,69.1,56.3,F
2025-08-11 09:40:43,5.8,9.4,893,23,0.02,0.01,69.2,54.1,F
2025-08-11 09:41:43,3.6,5.8,582,14,0.02,0.01,69.1,55.3,F
2025-08-11 09:42:43,4,6.9,648,16,0.02,0.02,69.1,55.3,F
2025-08-11 09:43:43,3.3,6.9,521,13,0.01,0.02,69.3,54.3,F
2025-08-11 09:44:43,2.5,4.3,389,10,0.02,0.03,69.1,54.3,F
2025-08-11 09:45:43,3.2,5.6,571,13,0.01,0.02,69.3,55.5,F
2025-08-11 09:46:43,3,5.6,545,12,0.02,0.01,69.2,52.1,F
2025-08-11 09:47:43,3,5.2,510,12,0.02,0.01,69.2,53.2,F
2025-08-11 09:48:43,2.9,5.2,498,12,0.02,0.03,69,54.4,F
2025-08-11 09:49:43,2.3,3.8,348,9,0.02,0.01,69.1,54.4,F
2025-08-11 09:50:43,2.6,4.7,463,10,0.02,0.02,68.9,53.4,F
2025-08-11 09:51:43,2.2,3.9,342,9,0.01,0.01,68.9,53.4,F
2025-08-11 09:52:43,2.7,5,451,11,0.02,0.01,68.7,53.5,F
2025-08-11 09:53:43,2.3,4.7,387,9,0.02,0.01,68.8,54.5,F
2025-08-11 09:54:43,2.5,4.1,414,10,0.01,0.01,68.6,53.4,F
2025-08-11 09:55:43,2.5,4,380,10,0.01,0.01,68.9,54.6,F
2025-08-11 09:56:43,2.3,3.9,363,9,0.02,0.02,68.9,54.6,F
2025-08-11 09:57:43,2.8,4.6,461,11,0.02,0.03,69,56.9,F
2025-08-11 09:58:43,2.6,4.4,444,10,0.01,0.02,69.2,53.5,F
2025-08-11 09:59:43,2.8,4.8,476,11,0.02,0.02,69.2,53.5,F
2025-08-11 10:00:43,2.8,4.8,471,11,0.02,0.02,69.3,52.4,F
2025-08-11 10:01:43,2.3,3.9,379,9,0.02,0.01,69.3,53.5,F
2025-08-11 10:02:43,2.8,4.9,475,11,0.02,0.02,69.4,54.8,F
2025-08-11 10:03:43,2.9,5.1,507,11,0.02,0.03,69.4,53.5,F
2025-08-11 10:04:43,3.1,5.6,547,12,0.01,0.04,69.5,57,F
2025-08-11 10:30:34,1.1,1.6,263,4,0.01,0.02,73.7,47.3,F
2025-08-11 10:31:34,1.3,2.3,242,5,0.01,0.02,73.1,46.6,F
2025-08-11 10:32:34,1.8,3.2,325,7,0.02,0.01,72.5,47,F
2025-08-11 10:33:34,1.9,3.4,363,8,0.02,0.02,72,47.3,F
2025-08-11 10:34:34,1.4,2,249,5,0.02,0.01,71.5,47.6,F
2025-08-11 10:35:34,1.5,3.1,346,5,0.01,0.02,70.9,48.9,F
2025-08-11 10:36:34,1.4,2.3,249,5,0.02,0.01,70.4,49.2,F
2025-08-11 10:37:34,1.8,3.1,314,7,0.01,0.01,69.9,49.4,F
2025-08-11 10:38:34,1.8,3.2,344,7,0.01,0.02,69.4,49.7,F
2025-08-11 10:39:34,1.9,3.4,363,7,0.01,0.01,69,51,F
2025-08-11 10:40:34,1.2,1.6,200,4,0.02,0.03,68.6,51.2,F
2025-08-11 10:41:34,1.5,2,282,6,0.02,0.01,68.4,52.5,F
2025-08-11 10:42:34,1.9,3.1,361,7,0.02,0.03,68.1,52.7,F
2025-08-11 10:43:34,1.4,2.5,251,5,0.02,0.02,67.8,54.1,F
2025-08-11 10:44:34,2.1,3.8,413,8,0.01,0.02,67.7,54.2,F
2025-08-11 10:45:34,1.8,3.2,316,7,0.02,0.01,67.4,54.5,F
2025-08-11 10:46:34,1.5,2.8,284,6,0.02,0.01,67.4,54.5,F
2025-08-11 10:47:34,1.5,2.6,284,6,0.02,0.02,67,54.7,F
2025-08-11 10:48:34,1.9,3.2,391,7,0.01,0.01,67.2,54.8,F
2025-08-11 10:49:34,2.5,4.1,381,10,0.01,0.01,66.9,55,F
2025-08-11 10:50:34,2,3.6,380,8,0.01,0.02,66.9,55.1,F
2025-08-11 10:51:34,2.8,5.1,465,11,0.02,0.01,66.6,55.2,F
2025-08-11 10:52:34,1.7,3,303,7,0.02,0.02,66.7,55.3,F
2025-08-11 10:53:34,1.9,3.8,432,7,0.02,0.01,66.4,55.6,F
2025-08-11 10:54:34,2.5,4.8,432,10,0.01,0.02,66.5,55.7,F
2025-08-11 10:55:34,2.9,5.2,516,12,0.02,0.01,66.2,55.7,F
