DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-08-12 08:36:54,4.9,7.7,823,20,0.02,0.01,67.0,58.4,F
2025-08-12 08:37:54,5.2,9.1,877,21,0.02,0.01,66.7,59.0,F
2025-08-12 08:38:54,4.9,7.6,803,20,0.01,0.01,66.4,59.3,F
2025-08-12 08:39:54,4.4,7.7,698,18,0.02,0.01,66.3,57.6,F
2025-08-12 08:40:54,3.7,6.4,617,15,0.01,0.01,66.2,58.0,F
2025-08-12 08:41:54,4.6,7.8,674,18,0.01,0.01,66.0,57.4,F
2025-08-12 08:42:54,3.5,5.4,570,14,0.02,0.01,65.8,56.6,F
2025-08-12 08:43:54,3.0,4.5,485,12,0.02,0.02,65.7,56.9,F
2025-08-12 08:44:54,3.2,5.3,522,13,0.02,0.02,65.6,57.1,F
2025-08-12 08:45:54,2.7,4.9,514,11,0.02,0.01,65.5,56.5,F
2025-08-12 08:46:54,3.0,4.2,451,12,0.02,0.01,65.4,56.6,F
2025-08-12 08:47:54,2.9,4.7,452,11,0.02,0.02,65.2,56.8,F
2025-08-12 08:48:54,3.2,5.1,518,13,0.02,0.01,65.3,57.2,F
2025-08-12 08:49:54,3.0,5.3,510,12,0.02,0.02,65.1,57.3,F
2025-08-12 08:50:54,2.5,4.3,446,10,0.02,0.02,65.1,57.6,F
2025-08-12 08:51:54,2.8,4.9,418,11,0.02,0.03,65.0,57.7,F
2025-08-12 08:52:54,2.5,3.3,476,10,0.02,0.03,65.1,56.7,F
2025-08-12 08:53:54,1.8,3.6,299,7,0.02,0.04,64.9,55.8,F
2025-08-12 08:54:54,1.9,2.9,300,7,0.01,0.03,64.9,56.0,F
2025-08-12 08:55:54,1.9,3.1,309,7,0.02,0.03,64.7,56.1,F
2025-08-12 08:56:54,2.0,3.8,355,8,0.02,0.03,64.8,56.2,F
2025-08-12 08:57:54,1.9,3.0,334,7,0.01,0.02,64.6,56.4,F
2025-08-12 08:58:54,2.1,3.6,422,8,0.02,0.03,64.9,56.5,F
2025-08-12 08:59:54,2.2,4.3,416,9,0.01,0.03,64.6,56.7,F
2025-08-12 09:00:54,2.1,3.5,352,8,0.02,0.03,64.6,56.7,F
2025-08-12 09:01:54,2.3,4.0,421,9,0.02,0.02,64.6,55.7,F
2025-08-12 09:02:54,1.6,2.5,255,6,0.02,0.02,64.5,56.9,F
2025-08-12 09:03:54,1.7,2.9,255,6,0.01,0.02,64.4,55.9,F
2025-08-12 09:04:54,2.3,4.2,393,9,0.01,0.02,64.5,56.0,F
2025-08-12 09:05:54,1.3,2.0,304,5,0.01,0.01,64.5,56.0,F
2025-08-12 09:06:54,1.2,1.6,272,4,0.02,0.01,64.4,56.2,F
2025-08-12 09:07:54,1.5,2.5,256,6,0.02,0.02,64.4,56.2,F
2025-08-12 09:08:54,1.6,1.8,259,6,0.02,0.01,64.4,55.1,F
2025-08-12 09:09:54,1.3,1.8,305,5,0.02,0.01,64.4,55.2,F
2025-08-12 09:10:54,1.6,2.3,258,6,0.01,0.01,64.4,55.3,F
2025-08-12 09:11:54,2.4,4.1,432,9,0.01,0.01,64.6,56.5,F
2025-08-12 09:12:54,1.5,2.9,298,6,0.01,0.02,64.5,56.5,F
2025-08-12 09:13:54,2.1,3.9,404,8,0.01,0.01,64.7,56.5,F
2025-08-12 09:14:54,1.7,3.0,280,6,0.02,0.01,64.5,56.6,F
2025-08-12 09:15:54,2.7,4.9,476,11,0.02,0.01,64.7,55.5,F
2025-08-12 09:16:54,2.4,4.3,435,9,0.02,0.02,64.5,55.5,F
2025-08-12 09:17:54,1.8,3.6,308,7,0.02,0.02,64.7,55.7,F
2025-08-12 09:18:54,2.8,5.8,515,11,0.01,0.02,64.6,55.6,F
2025-08-12 09:19:54,2.2,4.2,404,9,0.01,0.01,64.7,55.6,F
2025-08-12 09:20:54,1.9,3.3,296,7,0.01,0.01,64.5,55.7,F
2025-08-12 09:21:54,2.6,4.3,480,10,0.01,0.02,64.7,56.9,F
2025-08-12 09:22:54,2.4,4.4,418,9,0.01,0.01,64.6,55.7,F
