DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-08-11 09:03:59,3.6,5.8,496,15,0.02,0.01,64.1,61.6,F
2025-08-11 09:04:59,3.5,5.5,583,14,0.02,0.01,63.8,62.0,F
2025-08-11 09:05:59,3.1,4.5,468,12,0.02,0.03,63.5,61.3,F
2025-08-11 09:06:59,4.4,6.5,680,18,0.01,0.01,63.4,61.8,F
2025-08-11 09:07:59,4.4,7.2,680,18,0.02,0.02,63.3,62.2,F
2025-08-11 09:08:59,4.0,6.6,718,16,0.02,0.01,62.9,61.5,F
2025-08-11 09:09:59,3.8,6.6,689,15,0.01,0.02,62.5,61.9,F
2025-08-11 09:10:59,3.5,6.0,613,14,0.02,0.02,62.2,63.2,F
2025-08-11 09:11:59,2.7,4.3,411,11,0.01,0.02,62.2,63.7,F
2025-08-11 09:12:59,3.8,6.5,658,15,0.01,0.02,61.8,62.8,F
2025-08-11 09:13:59,2.7,4.2,514,11,0.02,0.02,61.5,62.0,F
2025-08-11 09:14:59,2.0,2.8,377,8,0.02,0.02,61.1,62.3,F
2025-08-11 09:15:59,2.2,3.9,392,9,0.02,0.01,61.0,63.6,F
2025-08-11 09:16:59,2.4,4.3,404,10,0.02,0.01,60.7,63.9,F
2025-08-11 09:17:59,3.8,6.3,643,15,0.01,0.02,60.8,63.0,F
2025-08-11 09:18:59,4.1,6.7,628,17,0.02,0.01,60.5,63.2,F
2025-08-11 09:19:59,3.2,5.6,516,13,0.01,0.01,60.5,64.5,F
2025-08-11 09:20:59,2.7,4.8,511,11,0.01,0.01,60.3,64.7,F
2025-08-11 09:21:59,3.1,4.7,468,12,0.02,0.01,60.4,63.9,F
2025-08-11 09:22:59,3.0,5.3,596,12,0.01,0.01,60.5,63.9,F
2025-08-11 09:23:59,3.7,5.6,512,15,0.02,0.03,60.4,63.1,F
2025-08-11 09:24:59,2.3,4.2,417,9,0.02,0.03,60.3,63.1,F
2025-08-11 09:25:59,3.7,6.2,600,15,0.02,0.01,60.3,64.4,F
2025-08-11 09:26:59,2.2,3.4,399,9,0.02,0.01,60.4,64.5,F
2025-08-11 09:27:59,2.1,3.3,361,8,0.01,0.01,60.2,64.8,F
2025-08-11 09:28:59,2.2,3.6,397,9,0.01,0.02,60.3,65.9,F
2025-08-11 09:29:59,2.2,4.0,386,8,0.02,0.01,60.4,66.0,F
2025-08-11 09:30:59,2.4,4.2,436,9,0.02,0.01,60.4,63.8,F
2025-08-11 09:31:59,3.9,6.9,649,15,0.02,0.01,60.3,63.9,F
2025-08-11 09:32:59,3.3,6.0,559,13,0.01,0.01,60.3,65.2,F
2025-08-11 09:33:59,3.6,5.8,607,14,0.02,0.02,60.2,64.1,F
2025-08-11 09:34:59,3.9,6.0,663,16,0.02,0.02,60.4,64.3,F
2025-08-11 09:35:59,5.7,9.1,880,23,0.02,0.02,60.3,62.0,F
2025-08-11 09:36:59,6.2,11.0,1019,25,0.02,0.02,60.2,63.2,F
2025-08-11 09:37:59,5.5,9.1,824,22,0.01,0.02,59.9,64.4,F
2025-08-11 09:38:59,4.4,7.8,692,18,0.02,0.02,60.0,64.5,F
2025-08-11 09:39:59,3.2,5.7,527,13,0.01,0.02,59.7,63.4,F
2025-08-11 09:40:59,3.0,5.1,455,12,0.02,0.03,59.6,62.5,F
2025-08-11 09:41:59,3.2,5.7,484,13,0.01,0.02,59.3,62.4,F
2025-08-11 09:42:59,2.3,3.6,428,9,0.01,0.02,59.2,62.5,F
2025-08-11 09:43:59,2.0,3.3,362,8,0.02,0.02,59.1,63.7,F
2025-08-11 09:44:59,2.5,4.0,446,10,0.02,0.02,58.7,65.0,F
2025-08-11 09:45:59,2.4,4.2,450,9,0.02,0.02,58.6,64.9,F
2025-08-11 09:46:59,2.8,4.5,508,11,0.02,0.02,58.6,64.9,F
2025-08-11 09:47:59,2.6,4.3,460,10,0.02,0.02,58.6,65.0,F
2025-08-11 09:48:59,2.6,4.7,493,10,0.01,0.02,58.6,66.2,F
2025-08-11 09:49:59,2.8,5.0,421,11,0.01,0.02,58.6,66.3,F
2025-08-11 09:50:59,2.7,5.0,420,11,0.01,0.02,58.6,65.1,F
